"","Estimate","Lower","Upper","analysis","classLandscape","area","contour","availPointsPer","samplingPattern","weighting","branches","species","indi","tf","td","sigColour"
"wrsfMethodsOUT_120_48_4_KINGCOBRA.est1",-0.0220611938734486,-2.23580864099602,2.19168625324912,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_120_48_4_KINGCOBRA.est1","KINGCOBRA",4,0.0208333333333333,120,"no effect"
"wrsfMethodsOUT_240_0.5_1_BADGER.est",0.588066584481313,-0.471191544934715,1.64732471389734,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_1_BADGER.est","BADGER",1,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_1_BADGER.est1",0.583396944121274,-0.203982941832775,1.37077683007532,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_1_BADGER.est1","BADGER",1,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_1_VULTURE.est",-0.0106026401572002,-0.969284685918564,0.948079405604163,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_1_VULTURE.est","VULTURE",1,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_1_VULTURE.est1",0.0848398338294996,-0.615554842914666,0.785234510573665,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_1_VULTURE.est1","VULTURE",1,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_1_KINGCOBRA.est",0.366675565930852,-1.17256257219507,1.90591370405678,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_1_KINGCOBRA.est","KINGCOBRA",1,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_1_KINGCOBRA.est1",1.72958782892341,0.436538830281752,3.02263682756506,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_1_KINGCOBRA.est1","KINGCOBRA",1,2,240,"preference"
"wrsfMethodsOUT_240_0.5_2_BADGER.est",0.739704080401487,-0.00236783728389889,1.48177599808687,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_2_BADGER.est","BADGER",2,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_2_BADGER.est1",0.0985681427981972,-0.732511263790624,0.929647549387018,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_2_BADGER.est1","BADGER",2,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_2_VULTURE.est",0.168819339474417,-0.724120881772214,1.06175956072105,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_2_VULTURE.est","VULTURE",2,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_2_VULTURE.est1",0.0760995861643825,-0.633966772873002,0.786165945201767,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_2_VULTURE.est1","VULTURE",2,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_2_KINGCOBRA.est",0.318048256089648,-0.810293728529106,1.4463902407084,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_2_KINGCOBRA.est","KINGCOBRA",2,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_2_KINGCOBRA.est1",1.25559425295097,0.00426146489328394,2.50692704100865,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_2_KINGCOBRA.est1","KINGCOBRA",2,2,240,"preference"
"wrsfMethodsOUT_240_0.5_3_BADGER.est",0.370100193959625,-0.609726830822873,1.34992721874212,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_3_BADGER.est","BADGER",3,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_3_BADGER.est1",0.0641914094710344,-0.937725105064298,1.06610792400637,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_3_BADGER.est1","BADGER",3,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_3_VULTURE.est",0.159396090846211,-0.679795341965434,0.998587523657857,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_3_VULTURE.est","VULTURE",3,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_3_VULTURE.est1",-0.00852999429567837,-0.675396435990704,0.658336447399347,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_3_VULTURE.est1","VULTURE",3,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_3_KINGCOBRA.est",-0.827708658073654,-3.04499445244674,1.38957713629943,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_3_KINGCOBRA.est","KINGCOBRA",3,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_3_KINGCOBRA.est1",1.42605486343925,0.203409965071433,2.64869976180707,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_3_KINGCOBRA.est1","KINGCOBRA",3,2,240,"preference"
"wrsfMethodsOUT_240_0.5_4_BADGER.est",0.846136658052674,0.0711894594426574,1.62108385666269,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_4_BADGER.est","BADGER",4,2,240,"preference"
"wrsfMethodsOUT_240_0.5_4_BADGER.est1",-0.483638909034697,-1.10742330873297,0.140145490663578,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_4_BADGER.est1","BADGER",4,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_4_VULTURE.est",0.417330531659826,-0.451082158746684,1.28574322206634,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_4_VULTURE.est","VULTURE",4,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_4_VULTURE.est1",0.0424476353653597,-0.812608920201201,0.897504190931921,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_4_VULTURE.est1","VULTURE",4,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_4_KINGCOBRA.est",1.52159934128507,-0.366053602492274,3.40925228506241,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_4_KINGCOBRA.est","KINGCOBRA",4,2,240,"no effect"
"wrsfMethodsOUT_240_0.5_4_KINGCOBRA.est1",0.479155645054054,-0.652387754699484,1.61069904480759,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_0.5_4_KINGCOBRA.est1","KINGCOBRA",4,2,240,"no effect"
"wrsfMethodsOUT_240_1_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_1_BADGER","BADGER",1,1,240,NA
"wrsfMethodsOUT_240_1_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_1_VULTURE","VULTURE",1,1,240,NA
"wrsfMethodsOUT_240_1_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_1_KINGCOBRA","KINGCOBRA",1,1,240,NA
"wrsfMethodsOUT_240_1_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_2_BADGER","BADGER",2,1,240,NA
"wrsfMethodsOUT_240_1_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_2_VULTURE","VULTURE",2,1,240,NA
"wrsfMethodsOUT_240_1_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_2_KINGCOBRA","KINGCOBRA",2,1,240,NA
"wrsfMethodsOUT_240_1_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_3_BADGER","BADGER",3,1,240,NA
"wrsfMethodsOUT_240_1_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_3_VULTURE","VULTURE",3,1,240,NA
"wrsfMethodsOUT_240_1_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_3_KINGCOBRA","KINGCOBRA",3,1,240,NA
"wrsfMethodsOUT_240_1_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_4_BADGER","BADGER",4,1,240,NA
"wrsfMethodsOUT_240_1_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_4_VULTURE","VULTURE",4,1,240,NA
"wrsfMethodsOUT_240_1_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_1_4_KINGCOBRA","KINGCOBRA",4,1,240,NA
"wrsfMethodsOUT_240_2_1_BADGER.est",0.591523320492491,-0.383862598920518,1.5669092399055,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_1_BADGER.est","BADGER",1,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_1_BADGER.est1",0.827977470018162,0.0619265459717824,1.59402839406454,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_1_BADGER.est1","BADGER",1,0.5,240,"preference"
"wrsfMethodsOUT_240_2_1_VULTURE.est",-0.248196470858914,-1.02608899081538,0.529696049097553,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_1_VULTURE.est","VULTURE",1,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_1_VULTURE.est1",0.0813275072149961,-0.53621685570815,0.698871870138143,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_1_VULTURE.est1","VULTURE",1,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_1_KINGCOBRA.est",0.168326788998299,-1.09499700119839,1.43165057919499,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_1_KINGCOBRA.est","KINGCOBRA",1,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_1_KINGCOBRA.est1",1.90220988540547,0.718287940533811,3.08613183027713,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_1_KINGCOBRA.est1","KINGCOBRA",1,0.5,240,"preference"
"wrsfMethodsOUT_240_2_2_BADGER.est",0.91086481085268,0.195778426284911,1.62595119542045,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_2_BADGER.est","BADGER",2,0.5,240,"preference"
"wrsfMethodsOUT_240_2_2_BADGER.est1",-0.0209569123118834,-0.757530105069804,0.715616280446038,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_2_BADGER.est1","BADGER",2,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_2_VULTURE.est",0.396195298326311,-0.430611798936306,1.22300239558893,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_2_VULTURE.est","VULTURE",2,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_2_VULTURE.est1",0.032364648293117,-0.566604245169644,0.631333541755878,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_2_VULTURE.est1","VULTURE",2,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_2_KINGCOBRA.est",0.427824011270199,-0.591559996441177,1.44720801898157,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_2_KINGCOBRA.est","KINGCOBRA",2,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_2_KINGCOBRA.est1",1.07395209463043,0.0314189868231833,2.11648520243767,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_2_KINGCOBRA.est1","KINGCOBRA",2,0.5,240,"preference"
"wrsfMethodsOUT_240_2_3_BADGER.est",0.466700088966455,-0.365659732553239,1.29905991048615,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_3_BADGER.est","BADGER",3,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_3_BADGER.est1",0.349618126905315,-0.533484738992246,1.23272099280288,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_3_BADGER.est1","BADGER",3,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_3_VULTURE.est",-0.000491472866407959,-0.693653773510895,0.69267082777808,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_3_VULTURE.est","VULTURE",3,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_3_VULTURE.est1",-0.191592521610557,-0.750036425278778,0.366851382057664,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_3_VULTURE.est1","VULTURE",3,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_3_KINGCOBRA.est",-1.18074593461657,-2.8204371370286,0.458945267795458,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_3_KINGCOBRA.est","KINGCOBRA",3,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_3_KINGCOBRA.est1",1.46522252354382,0.396104160938569,2.53434088614908,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_3_KINGCOBRA.est1","KINGCOBRA",3,0.5,240,"preference"
"wrsfMethodsOUT_240_2_4_BADGER.est",0.793872290884266,0.103968104645405,1.48377647712313,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_4_BADGER.est","BADGER",4,0.5,240,"preference"
"wrsfMethodsOUT_240_2_4_BADGER.est1",-0.46028759756803,-1.0206722366086,0.10009704147254,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_4_BADGER.est1","BADGER",4,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_4_VULTURE.est",0.676430464547602,-0.128588823176969,1.48144975227217,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_4_VULTURE.est","VULTURE",4,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_4_VULTURE.est1",-0.0495140515234304,-0.759187476220767,0.660159373173906,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_4_VULTURE.est1","VULTURE",4,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_4_KINGCOBRA.est",1.65320857520172,-0.10659188173277,3.41300903213622,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_4_KINGCOBRA.est","KINGCOBRA",4,0.5,240,"no effect"
"wrsfMethodsOUT_240_2_4_KINGCOBRA.est1",0.366715901065744,-0.620940392403697,1.35437219453519,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_2_4_KINGCOBRA.est1","KINGCOBRA",4,0.5,240,"no effect"
"wrsfMethodsOUT_240_6_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_1_BADGER","BADGER",1,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_1_VULTURE","VULTURE",1,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_1_KINGCOBRA","KINGCOBRA",1,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_2_BADGER","BADGER",2,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_2_VULTURE","VULTURE",2,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_2_KINGCOBRA","KINGCOBRA",2,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_3_BADGER","BADGER",3,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_3_VULTURE","VULTURE",3,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_3_KINGCOBRA","KINGCOBRA",3,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_4_BADGER","BADGER",4,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_4_VULTURE","VULTURE",4,0.166666666666667,240,NA
"wrsfMethodsOUT_240_6_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,240,NA
"wrsfMethodsOUT_240_12_1_BADGER.est",0.511938592067546,-0.565428549237066,1.58930573337216,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_1_BADGER.est","BADGER",1,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_1_BADGER.est1",1.13529834559972,0.169765940647238,2.10083075055219,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_1_BADGER.est1","BADGER",1,0.0833333333333333,240,"preference"
"wrsfMethodsOUT_240_12_1_VULTURE.est",1.08243775112921,-0.443242242826137,2.60811774508456,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_1_VULTURE.est","VULTURE",1,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_1_VULTURE.est1",-0.170299069911405,-0.921504556487668,0.580906416664858,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_1_VULTURE.est1","VULTURE",1,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_1_KINGCOBRA.est",0.415699196446892,-1.00022166342962,1.8316200563234,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_1_KINGCOBRA.est","KINGCOBRA",1,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_1_KINGCOBRA.est1",1.77785104391695,0.55833040852232,2.99737167931157,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_1_KINGCOBRA.est1","KINGCOBRA",1,0.0833333333333333,240,"preference"
"wrsfMethodsOUT_240_12_2_BADGER.est",0.844932064857457,-0.00877780196855815,1.69864193168347,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_2_BADGER.est","BADGER",2,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_2_BADGER.est1",0.0438105937111459,-0.791087808243699,0.878708995665991,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_2_BADGER.est1","BADGER",2,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_2_VULTURE.est",5.37926131361751e-05,-0.787014920014929,0.787122505241202,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_2_VULTURE.est","VULTURE",2,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_2_VULTURE.est1",-0.464903242232305,-1.08085444274045,0.151047958275843,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_2_VULTURE.est1","VULTURE",2,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_2_KINGCOBRA.est",0.73033666384773,-0.550226794146503,2.01090012184196,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_2_KINGCOBRA.est","KINGCOBRA",2,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_2_KINGCOBRA.est1",1.6107517373674,0.286488212054716,2.93501526268009,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_2_KINGCOBRA.est1","KINGCOBRA",2,0.0833333333333333,240,"preference"
"wrsfMethodsOUT_240_12_3_BADGER.est",0.65887319369909,-0.247177663705654,1.56492405110383,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_3_BADGER.est","BADGER",3,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_3_BADGER.est1",0.16105104333645,-0.687231489770918,1.00933357644382,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_3_BADGER.est1","BADGER",3,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_3_VULTURE.est",0.156670984142086,-0.706715208676193,1.02005717696036,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_3_VULTURE.est","VULTURE",3,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_3_VULTURE.est1",-0.160296286295099,-0.830319760842437,0.50972718825224,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_3_VULTURE.est1","VULTURE",3,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_3_KINGCOBRA.est",-0.931455618151411,-2.96922024323885,1.10630900693603,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_3_KINGCOBRA.est","KINGCOBRA",3,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_3_KINGCOBRA.est1",1.47985566490086,0.206001983605888,2.75370934619583,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_3_KINGCOBRA.est1","KINGCOBRA",3,0.0833333333333333,240,"preference"
"wrsfMethodsOUT_240_12_4_BADGER.est",0.508085661345625,-0.257817092969303,1.27398841566055,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_4_BADGER.est","BADGER",4,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_4_BADGER.est1",-0.0637536597442212,-0.805067995455734,0.677560675967291,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_4_BADGER.est1","BADGER",4,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_4_VULTURE.est",1.01347757921619,0.0268352489016844,2.0001199095307,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_4_VULTURE.est","VULTURE",4,0.0833333333333333,240,"preference"
"wrsfMethodsOUT_240_12_4_VULTURE.est1",-0.0374424592888716,-0.816610664208481,0.741725745630738,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_4_VULTURE.est1","VULTURE",4,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_4_KINGCOBRA.est",1.2482063528189,-0.330239183002774,2.82665188864058,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_4_KINGCOBRA.est","KINGCOBRA",4,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_12_4_KINGCOBRA.est1",0.337902942326723,-0.693291507699579,1.36909739235303,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_12_4_KINGCOBRA.est1","KINGCOBRA",4,0.0833333333333333,240,"no effect"
"wrsfMethodsOUT_240_24_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_1_BADGER","BADGER",1,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_1_VULTURE","VULTURE",1,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_1_KINGCOBRA","KINGCOBRA",1,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_2_BADGER","BADGER",2,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_2_VULTURE","VULTURE",2,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_2_KINGCOBRA","KINGCOBRA",2,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_3_BADGER","BADGER",3,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_3_VULTURE","VULTURE",3,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_3_KINGCOBRA","KINGCOBRA",3,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_4_BADGER","BADGER",4,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_4_VULTURE","VULTURE",4,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_24_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_24_4_KINGCOBRA","KINGCOBRA",4,0.0416666666666667,240,NA
"wrsfMethodsOUT_240_48_1_BADGER.est",0.630335259341181,-1.24332052591132,2.50399104459369,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_1_BADGER.est","BADGER",1,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_1_BADGER.est1",0.414830185115964,-1.13239757832908,1.96205794856101,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_1_BADGER.est1","BADGER",1,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_1_VULTURE.est",1.05393802290703,-1.19531587139684,3.30319191721091,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_1_VULTURE.est","VULTURE",1,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_1_VULTURE.est1",1.17875511120622,-0.675329092045256,3.0328393144577,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_1_VULTURE.est1","VULTURE",1,0.0208333333333333,240,"no effect"
