"","Estimate","Lower","Upper","analysis","modelForm","stepDist","turnDist","availablePerStep","branches","species","indi","tf","td","sigColour"
"ssfOUT_7_0.5_1_BADGER.26",-0.166155110055893,-0.813648114293045,0.481337894181258,"ssf","mf.ss","gamma","unif",5,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.27",-0.122791972626446,-0.75211365642016,0.506529711167268,"ssf","mf.ss","gamma","unif",15,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.28",0.0614364888332335,-0.548825912684669,0.671698890351136,"ssf","mf.ss","gamma","unif",50,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.29",-0.0557757110769719,-0.670746272900391,0.559194850746447,"ssf","mf.ss","gamma","unif",158,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.30",-0.079708121956586,-0.693665980953868,0.534249737040696,"ssf","mf.ss","gamma","unif",500,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.31",-0.214303403493329,-0.85158060810168,0.422973801115022,"ssf","mf.ss","exp","vonmises",5,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.32",-0.0207282106784714,-0.617731240500886,0.576274819143943,"ssf","mf.ss","exp","vonmises",15,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.33",0.0680726083969642,-0.531246531222673,0.667391748016602,"ssf","mf.ss","exp","vonmises",50,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.34",-0.1797804167213,-0.782850455585187,0.423289622142586,"ssf","mf.ss","exp","vonmises",158,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.35",-0.0823320345738547,-0.679192610072223,0.514528540924514,"ssf","mf.ss","exp","vonmises",500,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.36",-0.185794472385615,-0.839643376052428,0.468054431281198,"ssf","mf.ss","exp","unif",5,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.37",-0.181948545923887,-0.79657901975293,0.432681927905156,"ssf","mf.ss","exp","unif",15,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.38",-0.123709393164874,-0.730593820706386,0.483175034376637,"ssf","mf.ss","exp","unif",50,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
