"","Estimate","Lower","Upper","analysis","modelForm","stepDist","turnDist","availablePerStep","branches","species","indi","tf","td","sigColour"
"ssfOUT_15_6_4_BADGER.5",0.437532616121127,-0.586825994343701,1.46189122658595,"ssf","mf.is","gamma","vonmises",500,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.6",-0.799060195380904,-2.08820256986037,0.490082179098561,"ssf","mf.is","gamma","unif",5,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.7",0.874913309086205,-0.170278010310684,1.92010462848309,"ssf","mf.is","gamma","unif",15,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.8",0.685018054180193,-0.349438656442959,1.71947476480335,"ssf","mf.is","gamma","unif",50,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.9",0.562919294296413,-0.469799586988111,1.59563817558094,"ssf","mf.is","gamma","unif",158,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.10",0.564425021525396,-0.460508167198148,1.58935821024894,"ssf","mf.is","gamma","unif",500,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.11",-0.955177163415731,-2.45347674024828,0.543122413416823,"ssf","mf.is","exp","vonmises",5,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.12",-0.0955820786081034,-1.17591709516926,0.984752937953054,"ssf","mf.is","exp","vonmises",15,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.13",0.587730693889945,-0.455517443412093,1.63097883119198,"ssf","mf.is","exp","vonmises",50,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.14",0.528230739566069,-0.498841613887609,1.55530309301975,"ssf","mf.is","exp","vonmises",158,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.15",0.574631131826077,-0.450551284123885,1.59981354777604,"ssf","mf.is","exp","vonmises",500,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.16",0.855076541653987,-0.245443328663456,1.95559641197143,"ssf","mf.is","exp","unif",5,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.17",0.502998666520979,-0.57624731896851,1.58224465201047,"ssf","mf.is","exp","unif",15,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.18",0.455056845220173,-0.576293027254243,1.48640671769459,"ssf","mf.is","exp","unif",50,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.19",0.532019282752733,-0.494322164592113,1.55836073009758,"ssf","mf.is","exp","unif",158,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.20",0.625478470108275,-0.398458927718512,1.64941586793506,"ssf","mf.is","exp","unif",500,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.21",-0.603038193991522,-1.83318691416583,0.627110526182786,"ssf","mf.ss","gamma","vonmises",5,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.22",0.503829604402139,-0.538669125645147,1.54632833444943,"ssf","mf.ss","gamma","vonmises",15,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.23",0.445775960847413,-0.58226264922395,1.47381457091878,"ssf","mf.ss","gamma","vonmises",50,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.24",0.298834406484345,-0.72409811700212,1.32176692997081,"ssf","mf.ss","gamma","vonmises",158,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.25",0.374305556208058,-0.64817047235291,1.39678158476903,"ssf","mf.ss","gamma","vonmises",500,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.26",-0.695927262672416,-1.92302827569443,0.531173750349597,"ssf","mf.ss","gamma","unif",5,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.27",0.737941630248695,-0.300244080587118,1.77612734108451,"ssf","mf.ss","gamma","unif",15,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.28",0.604769195055166,-0.428191672028336,1.63773006213867,"ssf","mf.ss","gamma","unif",50,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.29",0.450592450610589,-0.574402092769723,1.4755869939909,"ssf","mf.ss","gamma","unif",158,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.30",0.467513890852939,-0.55348976968207,1.48851755138795,"ssf","mf.ss","gamma","unif",500,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.31",-1.37175913382962,-2.7911064234397,0.0475881557804516,"ssf","mf.ss","exp","vonmises",5,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.32",0.331226078000117,-0.718457112613025,1.38090926861326,"ssf","mf.ss","exp","vonmises",15,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.33",0.595075951393588,-0.435194171139174,1.62534607392635,"ssf","mf.ss","exp","vonmises",50,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.34",0.38787924624705,-0.635582989268808,1.41134148176291,"ssf","mf.ss","exp","vonmises",158,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.35",0.405388178926837,-0.617312739234526,1.4280890970882,"ssf","mf.ss","exp","vonmises",500,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.36",0.924303420451736,-0.162324173643761,2.01093101454723,"ssf","mf.ss","exp","unif",5,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.37",0.484852551458173,-0.57793256408129,1.54763766699764,"ssf","mf.ss","exp","unif",15,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.38",0.421972401997916,-0.609048032491782,1.45299283648761,"ssf","mf.ss","exp","unif",50,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.39",0.37242614007414,-0.649255659436964,1.39410793958525,"ssf","mf.ss","exp","unif",158,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_BADGER.40",0.479867554964406,-0.540838777056145,1.50057388698496,"ssf","mf.ss","exp","unif",500,"ssfOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.1",1.33592340457174,0.268235683245845,2.40361112589763,"ssf","mf.is","gamma","vonmises",5,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"preference"
"ssfOUT_15_6_4_VULTURE.2",0.550555352334097,-0.48598687756235,1.58709758223054,"ssf","mf.is","gamma","vonmises",15,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.3",0.408338221857286,-0.620648859256849,1.43732530297142,"ssf","mf.is","gamma","vonmises",50,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.4",0.675354109173878,-0.345575598526609,1.69628381687437,"ssf","mf.is","gamma","vonmises",158,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.5",0.72751366164603,-0.292796335917172,1.74782365920923,"ssf","mf.is","gamma","vonmises",500,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.6",1.06853745540833,-0.00702872215482397,2.14410363297148,"ssf","mf.is","gamma","unif",5,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.7",0.51444513425907,-0.530328483780812,1.55921875229895,"ssf","mf.is","gamma","unif",15,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.8",0.765260207201084,-0.259773957814125,1.79029437221629,"ssf","mf.is","gamma","unif",50,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.9",0.807091878775515,-0.21463667414595,1.82882043169698,"ssf","mf.is","gamma","unif",158,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.10",0.727139597540523,-0.29268962761684,1.74696882269789,"ssf","mf.is","gamma","unif",500,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.11",0.137976791447905,-0.982902083920991,1.2588556668168,"ssf","mf.is","exp","vonmises",5,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.12",0.765947764156211,-0.27545603481096,1.80735156312338,"ssf","mf.is","exp","vonmises",15,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.13",0.364261579960409,-0.665534421774483,1.3940575816953,"ssf","mf.is","exp","vonmises",50,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.14",0.70926740183727,-0.3121007181619,1.73063552183644,"ssf","mf.is","exp","vonmises",158,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.15",0.730017112958767,-0.290686965927002,1.75072119184454,"ssf","mf.is","exp","vonmises",500,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.16",0.242071314236543,-0.869437486959139,1.35358011543223,"ssf","mf.is","exp","unif",5,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.17",0.671706093163262,-0.37191533600717,1.71532752233369,"ssf","mf.is","exp","unif",15,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.18",0.8710912654036,-0.163310447536818,1.90549297834402,"ssf","mf.is","exp","unif",50,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.19",0.695760278741346,-0.325354673024672,1.71687523050736,"ssf","mf.is","exp","unif",158,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.20",0.711948073535855,-0.30893846847112,1.73283461554283,"ssf","mf.is","exp","unif",500,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.21",1.37588221529232,0.313809563485791,2.43795486709886,"ssf","mf.ss","gamma","vonmises",5,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"preference"
"ssfOUT_15_6_4_VULTURE.22",0.537787371940056,-0.497547450188547,1.57312219406866,"ssf","mf.ss","gamma","vonmises",15,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.23",0.465780019021377,-0.561189829061974,1.49274986710473,"ssf","mf.ss","gamma","vonmises",50,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.24",0.705360259786313,-0.314549159166771,1.7252696787394,"ssf","mf.ss","gamma","vonmises",158,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.25",0.728995992574608,-0.29003624126166,1.74802822641088,"ssf","mf.ss","gamma","vonmises",500,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.26",1.02852402455648,-0.0482988210255753,2.10534687013854,"ssf","mf.ss","gamma","unif",5,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.27",0.495271457869177,-0.545685229822485,1.53622814556084,"ssf","mf.ss","gamma","unif",15,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.28",0.776030819931444,-0.248344248243867,1.80040588810675,"ssf","mf.ss","gamma","unif",50,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.29",0.797404760648027,-0.223069429086982,1.81787895038304,"ssf","mf.ss","gamma","unif",158,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.30",0.727676471047723,-0.291025256916804,1.74637819901225,"ssf","mf.ss","gamma","unif",500,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.31",0.109090633937547,-0.992975534265482,1.21115680214058,"ssf","mf.ss","exp","vonmises",5,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.32",0.64605907132609,-0.403642493686607,1.69576063633879,"ssf","mf.ss","exp","vonmises",15,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.33",0.33502781561134,-0.692971586489392,1.36302721771207,"ssf","mf.ss","exp","vonmises",50,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.34",0.679484983529424,-0.341940517877775,1.70091048493662,"ssf","mf.ss","exp","vonmises",158,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.35",0.652052387147584,-0.368474605099628,1.6725793793948,"ssf","mf.ss","exp","vonmises",500,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.36",0.453206752066832,-0.639258217937733,1.5456717220714,"ssf","mf.ss","exp","unif",5,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.37",0.658879281525416,-0.375965279695832,1.69372384274666,"ssf","mf.ss","exp","unif",15,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.38",0.680993027479425,-0.347742442086857,1.70972849704571,"ssf","mf.ss","exp","unif",50,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.39",0.63339581991906,-0.387914965023729,1.65470660486185,"ssf","mf.ss","exp","unif",158,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_VULTURE.40",0.601196244915676,-0.419101451009863,1.62149394084121,"ssf","mf.ss","exp","unif",500,"ssfOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.1",15.9509429453141,-5951.7845108485,5983.68639673913,"ssf","mf.is","gamma","vonmises",5,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.2",15.4769635469541,-5939.2234987874,5970.1774258813,"ssf","mf.is","gamma","vonmises",15,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.3",15.9162953800253,-3178.47578048625,3210.3083712463,"ssf","mf.is","gamma","vonmises",50,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.4",15.7492572210933,-3548.60605757034,3580.10457201252,"ssf","mf.is","gamma","vonmises",158,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.5",15.8282388795032,-3606.14403245039,3637.8005102094,"ssf","mf.is","gamma","vonmises",500,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.6",15.9449586956829,-5552.02807198671,5583.91798937808,"ssf","mf.is","gamma","unif",5,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.7",15.8465108775334,-5015.4788481326,5047.17186988767,"ssf","mf.is","gamma","unif",15,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.8",15.9194070104576,-4164.66007071301,4196.49888473393,"ssf","mf.is","gamma","unif",50,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.9",15.8106383737517,-3546.54862279786,3578.16989954536,"ssf","mf.is","gamma","unif",158,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.10",14.8317120048194,-2257.91809610641,2287.58152011605,"ssf","mf.is","gamma","unif",500,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.11",17.0568485281362,-7051.02138531455,7085.13508237082,"ssf","mf.is","exp","vonmises",5,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.12",16.5188040738993,-6242.12017620823,6275.15778435603,"ssf","mf.is","exp","vonmises",15,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.13",15.5725176663407,-3327.49721146089,3358.64224679358,"ssf","mf.is","exp","vonmises",50,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.14",15.4347999502417,-3190.43231420415,3221.30191410464,"ssf","mf.is","exp","vonmises",158,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.15",15.5994994142505,-3731.49133143617,3762.69033026467,"ssf","mf.is","exp","vonmises",500,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.16",16.9429284130571,-6320.96513329754,6354.85099012365,"ssf","mf.is","exp","unif",5,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.17",16.5237535785485,-5054.89998903216,5087.94749618926,"ssf","mf.is","exp","unif",15,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.18",16.3505878421415,-4434.55504112582,4467.25621681011,"ssf","mf.is","exp","unif",50,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.19",15.6316631953334,-3556.64255543783,3587.90588182849,"ssf","mf.is","exp","unif",158,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.20",14.7126699325981,-2321.05946795276,2350.48480781796,"ssf","mf.is","exp","unif",500,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.21",16.1285128941781,-5462.46556021417,5494.72258600253,"ssf","mf.ss","gamma","vonmises",5,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.22",15.8955932347481,-5469.10201500784,5500.89320147734,"ssf","mf.ss","gamma","vonmises",15,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.23",15.8591201152083,-3218.41947968633,3250.13771991674,"ssf","mf.ss","gamma","vonmises",50,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.24",15.8610932182436,-3536.78099407877,3568.50318051526,"ssf","mf.ss","gamma","vonmises",158,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.25",14.8386756515637,-2195.79513821652,2225.47248951965,"ssf","mf.ss","gamma","vonmises",500,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.26",16.1040275637558,-5548.7336778342,5580.94173296171,"ssf","mf.ss","gamma","unif",5,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.27",15.966824148429,-4961.29478319167,4993.22843148853,"ssf","mf.ss","gamma","unif",15,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.28",15.8688953635032,-4149.9429646208,4181.68075534781,"ssf","mf.ss","gamma","unif",50,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.29",15.8559039375767,-3551.05238527737,3582.76419315253,"ssf","mf.ss","gamma","unif",158,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.30",14.8485255477357,-2249.27895147513,2278.97600257061,"ssf","mf.ss","gamma","unif",500,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.31",17.1820807119116,-6356.29557088449,6390.65973230832,"ssf","mf.ss","exp","vonmises",5,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.32",15.9490833466484,-4612.3328774218,4644.23104411509,"ssf","mf.ss","exp","vonmises",15,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.33",15.9046731942287,-3334.11314415398,3365.92249054243,"ssf","mf.ss","exp","vonmises",50,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.34",15.9079331619148,-3246.64992871361,3278.46579503744,"ssf","mf.ss","exp","vonmises",158,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.35",15.880138443952,-3268.17787369936,3299.93815058726,"ssf","mf.ss","exp","vonmises",500,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.36",17.0560098025853,-6389.50226700449,6423.61428660966,"ssf","mf.ss","exp","unif",5,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.37",16.9150671673161,-4883.00078582239,4916.83092015702,"ssf","mf.ss","exp","unif",15,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.38",15.8666220179217,-3144.66516687574,3176.39841091158,"ssf","mf.ss","exp","unif",50,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.39",15.8800853748179,-3354.9687826932,3386.72895344284,"ssf","mf.ss","exp","unif",158,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_15_6_4_KINGCOBRA.40",15.875579749344,-3482.89043141072,3514.64159090941,"ssf","mf.ss","exp","unif",500,"ssfOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,"no effect"
"ssfOUT_30_0.5_1_BADGER.1",-0.0561140095341568,-0.515876288303126,0.403648269234812,"ssf","mf.is","gamma","vonmises",5,"ssfOUT_30_0.5_1_BADGER","BADGER",1,2,30,"no effect"
"ssfOUT_30_0.5_1_BADGER.2",0.177259135563606,-0.229120822934176,0.583639094061387,"ssf","mf.is","gamma","vonmises",15,"ssfOUT_30_0.5_1_BADGER","BADGER",1,2,30,"no effect"
"ssfOUT_30_0.5_1_BADGER.3",0.235218701816385,-0.169689376392571,0.64012678002534,"ssf","mf.is","gamma","vonmises",50,"ssfOUT_30_0.5_1_BADGER","BADGER",1,2,30,"no effect"
"ssfOUT_30_0.5_1_BADGER.4",0.132988910937611,-0.268412891317115,0.534390713192337,"ssf","mf.is","gamma","vonmises",158,"ssfOUT_30_0.5_1_BADGER","BADGER",1,2,30,"no effect"
"ssfOUT_30_0.5_1_BADGER.5",0.115894132668428,-0.286984426124401,0.518772691461256,"ssf","mf.is","gamma","vonmises",500,"ssfOUT_30_0.5_1_BADGER","BADGER",1,2,30,"no effect"
"ssfOUT_30_0.5_1_BADGER.6",0.0806082093264813,-0.342271015416393,0.503487434069355,"ssf","mf.is","gamma","unif",5,"ssfOUT_30_0.5_1_BADGER","BADGER",1,2,30,"no effect"
"ssfOUT_30_0.5_1_BADGER.7",0.175013565141966,-0.233671043995642,0.583698174279575,"ssf","mf.is","gamma","unif",15,"ssfOUT_30_0.5_1_BADGER","BADGER",1,2,30,"no effect"
